operador;instrumento;repeticao;comprimento;obs
A1;regua;1;80,5;1
A1;regua;2;81;2
A1;regua;3;81;3
A1;regua;4;80,5;4
A1;regua;5;80,5;5
A1;regua;6;80,5;6
A1;p_005;1;81,1;7
A1;p_005;2;81,7;8
A1;p_005;3;80,5;9
A1;p_005;4;80,7;10
A1;p_005;5;80,6;11
A1;p_005;6;80,75;12
A1;p_002;1;80,94;13
A1;p_002;2;81,58;14
A1;p_002;3;80,6;15
A1;p_002;4;80,4;16
A1;p_002;5;80,52;17
A1;p_002;6;80,6;18
A1;p_fr;1;80,96;19
A1;p_fr;2;80,17;20
A1;p_fr;3;80,37;21
A1;p_fr;4;80,37;22
A1;p_fr;5;80,56;23
A1;p_fr;6;80,76;24
A2;regua;1;80,5;25
A2;regua;2;80;26
A2;regua;3;80;27
A2;regua;4;80,5;28
A2;regua;5;80,5;29
A2;regua;6;81;30
A2;p_005;1;80,5;31
A2;p_005;2;80,25;32
A2;p_005;3;80,65;33
A2;p_005;4;80,6;34
A2;p_005;5;80,6;35
A2;p_005;6;80,35;36
A2;p_002;1;80,46;37
A2;p_002;2;80,1;38
A2;p_002;3;80,4;39
A2;p_002;4;80,82;40
A2;p_002;5;80,7;41
A2;p_002;6;80,48;42
A2;p_fr;1;80,56;43
A2;p_fr;2;80,17;44
A2;p_fr;3;80,56;45
A2;p_fr;4;80,56;46
A2;p_fr;5;80,76;47
A2;p_fr;6;80,37;48
