operador;instrumento;repeticao;comprimento;obs
A2;Régua;2;80;26
A2;Régua;3;80;27
A2;Paq.0,02;2;80,1;38
A1;Paq.Fr.;2;80,17;20
A2;Paq.Fr.;2;80,17;44
A2;Paq.0,05;2;80,25;32
A2;Paq.0,05;6;80,35;36
A1;Paq.Fr.;3;80,37;21
A1;Paq.Fr.;4;80,37;22
A2;Paq.Fr.;6;80,37;48
A1;Paq.0,02;4;80,4;16
A2;Paq.0,02;3;80,4;39
A2;Paq.0,02;1;80,46;37
A2;Paq.0,02;6;80,48;42
A1;Régua;1;80,5;1
A1;Régua;4;80,5;4
A1;Régua;5;80,5;5
A1;Régua;6;80,5;6
A1;Paq.0,05;3;80,5;9
A2;Régua;1;80,5;25
A2;Régua;4;80,5;28
A2;Régua;5;80,5;29
A2;Paq.0,05;1;80,5;31
A1;Paq.0,02;5;80,52;17
A1;Paq.Fr.;5;80,56;23
A2;Paq.Fr.;1;80,56;43
A2;Paq.Fr.;3;80,56;45
A2;Paq.Fr.;4;80,56;46
A1;Paq.0,05;5;80,6;11
A1;Paq.0,02;3;80,6;15
A1;Paq.0,02;6;80,6;18
A2;Paq.0,05;4;80,6;34
A2;Paq.0,05;5;80,6;35
A2;Paq.0,05;3;80,65;33
A1;Paq.0,05;4;80,7;10
A2;Paq.0,02;5;80,7;41
A1;Paq.0,05;6;80,75;12
A1;Paq.Fr.;6;80,76;24
A2;Paq.Fr.;5;80,76;47
A2;Paq.0,02;4;80,82;40
A1;Paq.0,02;1;80,94;13
A1;Paq.Fr.;1;80,96;19
A1;Régua;2;81;2
A1;Régua;3;81;3
A2;Régua;6;81;30
A1;Paq.0,05;1;81,1;7
A1;Paq.0,02;2;81,58;14
A1;Paq.0,05;2;81,7;8
